no attack,,,,,,,,,,reflection,,,,,,,,,,scale,,,,,,,
observable,,,error,,,input,,,,observable,,,error,,,input,,,,observable,,,error,,,input,
x,y,theta,e_x,e_y,e_theta,v,w,,,x,y,theta,e_x,e_y,e_theta,v,w,,,x,y,theta,e_x,e_y,e_theta,v,w
0.184847,0.0628,-0.423024,0.003466,0.009257,0.063499,0.020089,0.0137401,,,0.19846,0.068051,-0.418956,0.004391,0.009184,0.061019,0.021871125,0.004796,,,0.199122,0.066339,-0.42565,0.00327,0.008673,0.067845,0.0094578,0.00035
0.186047,0.062259,-0.423938,0.003677,0.00939,0.063075,0.020513,0.0169718,,,0.200148,0.0673,-0.419702,0.00425,0.00931,0.06036,0.021556125,0.003546,,,0.201565,0.065229,-0.427281,0.004885,0.008824,0.068944,0.0112332,0.005861
0.187825,0.061461,-0.420093,0.004,0.009531,0.064455,0.021158,0.0273129,,,0.202229,0.066373,-0.419123,0.004118,0.009446,0.061803,0.021256875,-0.002578,,,0.201795,0.065125,-0.427705,0.006862,0.008973,0.069382,0.0134068,0.010111
0.190298,0.060356,-0.419379,0.00425,0.009674,0.065903,0.021653,0.0382813,,,0.204286,0.065454,-0.42035,0.004293,0.009584,0.063086,0.02164725,-0.008567,,,0.202348,0.064873,-0.42663,0.005431,0.009093,0.06632,0.0118327,0.006478
0.192425,0.059409,-0.418419,0.004819,0.009797,0.063337,0.022789,0.0343237,,,0.206064,0.064657,-0.421121,0.004557,0.009715,0.063264,0.022237875,-0.012248,,,0.206038,0.063203,-0.424405,0.003664,0.009235,0.067006,0.0098879,0.011487
0.194785,0.058362,-0.416276,0.004829,0.009929,0.06375,0.022806,0.0417833,,,0.207774,0.063893,-0.420491,0.004466,0.009832,0.06115,0.02202975,-0.010941,,,0.20922,0.061764,-0.423621,0.004383,0.009375,0.067351,0.0106766,0.015902
0.19592,0.057863,-0.412956,0.003708,0.010059,0.063693,0.020558,0.0477843,,,0.209832,0.062978,-0.417274,0.003912,0.009951,0.06011,0.0207765,-0.012146,,,0.210097,0.061369,-0.423517,0.006415,0.009517,0.068249,0.0129085,0.021719
0.198147,0.056889,-0.409921,0.003671,0.01019,0.064148,0.020478,0.0559783,,,0.21231,0.061883,-0.414836,0.00417,0.010066,0.058984,0.02135025,-0.013277,,,0.210421,0.061224,-0.421136,0.006649,0.009597,0.06153,0.0131648,0.010209
0.199216,0.056428,-0.406003,0.004196,0.010307,0.061911,0.021521,0.0542834,,,0.214048,0.061121,-0.412016,0.004579,0.010192,0.060659,0.022260375,-0.020798,,,0.212782,0.060181,-0.41462,0.003327,0.009722,0.061628,0.0095062,0.014342
0.201427,0.055484,-0.399957,0.004436,0.010435,0.062894,0.021992,0.0649339,,,0.215625,0.060431,-0.411703,0.00526,0.010309,0.060559,0.02378475,-0.024521,,,0.216953,0.058348,-0.412673,0.003539,0.00985,0.062766,0.0097339,0.020948
0.204602,0.054153,-0.393819,0.004923,0.010538,0.059815,0.022957,0.0603592,,,0.217506,0.059615,-0.408228,0.003512,0.010412,0.058179,0.0198405,-0.023314,,,0.218855,0.057517,-0.411292,0.005114,0.009982,0.064534,0.0114598,0.029161
0.205911,0.053611,-0.391892,0.004704,0.010634,0.056637,0.02251,0.0555074,,,0.220575,0.058295,-0.404368,0.003493,0.010523,0.057612,0.019785375,-0.026331,,,0.219319,0.057315,-0.410711,0.00687,0.010094,0.063344,0.0133859,0.03086
0.207666,0.052887,-0.389394,0.003916,0.01073,0.054675,0.020925,0.0554071,,,0.222577,0.057442,-0.400932,0.003571,0.010634,0.057504,0.0199485,-0.030518,,,0.219598,0.057194,-0.406665,0.005633,0.01017,0.057985,0.0120208,0.023197
0.209894,0.051983,-0.381444,0.004167,0.010834,0.055181,0.021413,0.0648251,,,0.224489,0.056634,-0.397665,0.003944,0.010735,0.055938,0.020775375,-0.031619,,,0.223418,0.055571,-0.396285,0.003198,0.010263,0.056042,0.0093357,0.023337
0.211282,0.051432,-0.37561,0.00441,0.010942,0.056423,0.021885,0.0774034,,,0.226148,0.055943,-0.392649,0.004297,0.010829,0.054104,0.021553875,-0.032213,,,0.227017,0.054074,-0.392753,0.004163,0.010379,0.058336,0.0103895,0.033132
0.214821,0.050057,-0.366256,0.00479,0.011032,0.054487,0.022631,0.0782568,,,0.227834,0.05525,-0.387075,0.004653,0.010914,0.051978,0.02234025,-0.032213,,,0.228187,0.05359,-0.390893,0.005942,0.010494,0.060257,0.0123376,0.042311
0.216311,0.04949,-0.361468,0.004885,0.011105,0.050983,0.022807,0.0732741,,,0.229523,0.054567,-0.380921,0.004549,0.010994,0.05034,0.0220905,-0.03339,,,0.228561,0.053437,-0.387791,0.005589,0.010544,0.053124,0.0119427,0.031262
0.218492,0.048674,-0.353551,0.004243,0.011173,0.047753,0.021509,0.0695307,,,0.23164,0.053726,-0.374968,0.004072,0.01108,0.050515,0.020998125,-0.038733,,,0.230816,0.052531,-0.377751,0.005271,0.010597,0.047547,0.0115863,0.02381
0.220181,0.04806,-0.344602,0.003861,0.011247,0.046326,0.020728,0.0728474,,,0.234092,0.052769,-0.370542,0.004277,0.011168,0.050733,0.021441375,-0.044422,,,0.23374,0.05139,-0.364024,0.004094,0.01066,0.046684,0.0102828,0.026732
0.221659,0.047533,-0.339528,0.004224,0.011323,0.046094,0.021437,0.0808918,,,0.23591,0.052066,-0.365876,0.004366,0.011237,0.047869,0.0216225,-0.043481,,,0.237338,0.05003,-0.362883,0.00256,0.010763,0.050873,0.0085833,0.04133
0.224313,0.046611,-0.329239,0.004497,0.011376,0.042663,0.021968,0.0771433,,,0.237875,0.051323,-0.357846,0.004545,0.011302,0.045949,0.02200725,-0.044693,,,0.239705,0.049133,-0.36085,0.004084,0.010861,0.052981,0.0102487,0.051665
0.226087,0.046009,-0.323638,0.004703,0.011428,0.04072,0.022362,0.0791085,,,0.239751,0.05063,-0.350479,0.004838,0.011354,0.042949,0.02264625,-0.043627,,,0.240274,0.048919,-0.357511,0.005808,0.010957,0.055266,0.0121352,0.062567
0.228538,0.045199,-0.314992,0.00466,0.011471,0.038468,0.022256,0.0801234,,,0.241536,0.049986,-0.341757,0.004092,0.011412,0.042332,0.020946375,-0.047934,,,0.240796,0.048725,-0.351928,0.006216,0.010987,0.048276,0.0125752,0.052951
0.229936,0.04475,-0.306175,0.004378,0.011517,0.037095,0.021674,0.0847729,,,0.244282,0.049021,-0.335144,0.003616,0.011467,0.0401,0.01985625,-0.049063,,,0.243131,0.047888,-0.338006,0.005463,0.011001,0.041031,0.0117381,0.042779
0.231823,0.044171,-0.28692,0.00446,0.011564,0.037056,0.021818,0.0946533,,,0.246795,0.048156,-0.326643,0.003885,0.011513,0.037,0.020439,-0.048465,,,0.245764,0.046984,-0.323619,0.003856,0.01103,0.037678,0.0099605,0.041328
0.234107,0.043505,-0.283835,0.004689,0.011589,0.032969,0.022258,0.0898967,,,0.24862,0.047546,-0.317006,0.003906,0.011557,0.035635,0.02046375,-0.051722,,,0.249705,0.045681,-0.316752,0.003552,0.011096,0.040184,0.009614,0.053091
0.238629,0.042195,-0.278309,0.005275,0.011571,0.024289,0.023413,0.067982,,,0.250667,0.046883,-0.308841,0.004254,0.011584,0.032106,0.0212265,-0.050417,,,0.251342,0.045148,-0.312066,0.004861,0.011165,0.043088,0.0110429,0.065981
0.240261,0.041734,-0.271738,0.004739,0.011581,0.025009,0.02232,0.0806708,,,0.25243,0.046331,-0.29825,0.00453,0.011621,0.032614,0.021823875,-0.057969,,,0.252016,0.044931,-0.308208,0.006219,0.011204,0.041561,0.0125257,0.069336
0.24229,0.041189,-0.251644,0.002753,0.011624,0.028478,0.018325,0.1045847,,,0.254222,0.045787,-0.29144,0.004606,0.011643,0.030655,0.021972375,-0.060375,,,0.252644,0.044734,-0.300387,0.005728,0.011186,0.033291,0.0119768,0.05789
0.243346,0.040925,-0.239328,0.002604,0.011662,0.0283,0.018008,0.11599,,,0.256237,0.045193,-0.281911,0.004258,0.011645,0.025882,0.021169125,-0.056864,,,0.255894,0.043763,-0.279484,0.004176,0.01116,0.024825,0.0102586,0.046203
0.246152,0.040254,-0.235686,0.003185,0.011666,0.019858,0.019151,0.0977949,,,0.258697,0.044497,-0.26932,0.004221,0.011649,0.022627,0.021063375,-0.056847,,,0.258916,0.042915,-0.268263,0.005182,0.011187,0.02734,0.0113542,0.058532
0.247728,0.03988,-0.229444,0.003906,0.011643,0.012245,0.020574,0.0820988,,,0.260847,0.043914,-0.258006,0.004379,0.011657,0.022052,0.021396375,-0.062698,,,0.260137,0.042584,-0.261142,0.006163,0.011197,0.027442,0.0124223,0.065801
0.250295,0.039299,-0.214576,0.003722,0.011652,0.017042,0.020186,0.1113405,,,0.262782,0.043412,-0.249135,0.004718,0.011646,0.018829,0.02213775,-0.062999,,,0.261557,0.042212,-0.250592,0.005148,0.011125,0.015865,0.0112959,0.047761
0.251633,0.039016,-0.203015,0.003613,0.011669,0.019634,0.019947,0.1335782,,,0.264575,0.042967,-0.237387,0.004701,0.011624,0.015722,0.022077,-0.063641,,,0.264309,0.041532,-0.234423,0.004979,0.011101,0.01437,0.0111001,0.051665
0.253819,0.038589,-0.185187,0.003738,0.011666,0.017183,0.02018,0.1380713,,,0.266719,0.042463,-0.225531,0.003449,0.011612,0.014113,0.019240875,-0.067822,,,0.26791,0.040702,-0.223645,0.003259,0.011125,0.020326,0.009196,0.072067
0.254865,0.0384,-0.17073,0.004003,0.011637,0.011347,0.020692,0.1304383,,,0.270053,0.041716,-0.214957,0.003549,0.011607,0.01376,0.019443375,-0.074986,,,0.270527,0.04011,-0.220122,0.004395,0.01115,0.024143,0.0104357,0.08834
0.258336,0.037826,-0.161068,0.00436,0.011592,0.006166,0.021388,0.1250136,,,0.272058,0.041289,-0.205428,0.003978,0.011575,0.008861,0.0203895,-0.072648,,,0.271417,0.039914,-0.214449,0.00562,0.011155,0.024504,0.0117722,0.0974
0.261661,0.037301,-0.151006,0.005154,0.011513,-0.001991,0.022959,0.1086715,,,0.273795,0.04094,-0.191153,0.004186,0.011536,0.005369,0.0208395,-0.0733,,,0.272209,0.039745,-0.202506,0.005544,0.011077,0.014153,0.0116809,0.083321
0.262988,0.037108,-0.13929,0.004548,0.011463,-0.000818,0.02173,0.1259979,,,0.275736,0.040578,-0.17809,0.004451,0.011483,0.001229,0.021416625,-0.072646,,,0.274394,0.039316,-0.186874,0.00545,0.011023,0.009832,0.0115687,0.082249
0.264897,0.036865,-0.11566,0.003277,0.011433,0.000713,0.019173,0.1456414,,,0.277632,0.04025,-0.164194,0.004621,0.011427,-0.001399,0.02178,-0.075251,,,0.277285,0.038798,-0.166973,0.004007,0.01093,-0.000929,0.0099726,0.067641
0.266029,0.036744,-0.099602,0.003364,0.011384,-0.003647,0.01933,0.1448186,,,0.279606,0.039935,-0.151636,0.005058,0.01135,-0.005502,0.022746375,-0.074714,,,0.280283,0.038316,-0.152105,0.005127,0.010907,0.003682,0.0111969,0.085835
0.268473,0.036507,-0.096854,0.004162,0.011293,-0.012954,0.020912,0.1260166,,,0.281335,0.039685,-0.137435,0.004107,0.011267,-0.01011,0.02058975,-0.073302,,,0.281335,0.038159,-0.144613,0.005377,0.010834,-0.000231,0.0114631,0.086006
0.271724,0.036206,-0.085628,0.004784,0.011168,-0.02268,0.022141,0.1050641,,,0.284446,0.039277,-0.122573,0.003367,0.011194,-0.013455,0.018909,-0.074879,,,0.28314,0.037908,-0.132452,0.005506,0.01076,-0.002628,0.0115984,0.089461
0.273213,0.036089,-0.072625,0.004373,0.011114,-0.014891,0.021308,0.1468977,,,0.287337,0.038939,-0.108827,0.003715,0.011123,-0.014743,0.0196785,-0.080861,,,0.285802,0.037578,-0.114191,0.004248,0.01064,-0.01275,0.0102069,0.076665
0.275537,0.035945,-0.049488,0.003818,0.011054,-0.012483,0.020187,0.170441,,,0.289125,0.038755,-0.097002,0.004157,0.011024,-0.020109,0.0206595,-0.078302,,,0.288621,0.037277,-0.098995,0.005359,0.010592,-0.007886,0.0114235,0.095671
0.276776,0.035894,-0.034382,0.003902,0.010963,-0.017683,0.020344,0.1672246,,,0.290865,0.0386,-0.080974,0.004451,0.010905,-0.026015,0.021306375,-0.074442,,,0.28983,0.037162,-0.089626,0.005964,0.01048,-0.012772,0.0120824,0.093991
0.278269,0.035856,-0.015592,0.004311,0.010847,-0.025081,0.021151,0.1559723,,,0.292758,0.038463,-0.064293,0.004513,0.010796,-0.02724,0.02143575,-0.080362,,,0.291647,0.037015,-0.074046,0.004567,0.010317,-0.025006,0.0105391,0.076725
0.282546,0.035813,-0.003241,0.004759,0.010698,-0.034082,0.022036,0.1384249,,,0.29483,0.038344,-0.05219,0.004831,0.010668,-0.031241,0.02214,-0.080498,,,0.294779,0.036817,-0.054425,0.00466,0.010214,-0.025072,0.010637,0.085255
0.284394,0.035818,0.007924,0.005468,0.010526,-0.041826,0.023443,0.1246651,,,0.296676,0.03826,-0.037223,0.004955,0.010521,-0.036361,0.022408875,-0.078151,,,0.297155,0.036704,-0.04103,0.005364,0.010106,-0.025634,0.011407,0.09282
0.287,0.035863,0.025801,0.00407,0.010402,-0.039743,0.020644,0.1462058,,,0.298725,0.038201,-0.021057,0.00404,0.010379,-0.039273,0.020343375,-0.080454,,,0.298218,0.036665,-0.031784,0.006059,0.009991,-0.025483,0.0121682,0.10178
0.288796,0.035928,0.045645,0.003588,0.010264,-0.043066,0.019673,0.1490363,,,0.301787,0.038161,-0.007034,0.00362,0.010237,-0.043805,0.0193905,-0.079616,,,0.300242,0.036618,-0.014571,0.004359,0.009791,-0.039444,0.0102938,0.080911
0.289959,0.03599,0.060285,0.003509,0.010121,-0.046553,0.01951,0.1512616,,,0.304369,0.038162,0.008662,0.0037,0.010101,-0.045543,0.019567125,-0.084562,,,0.303583,0.036601,0.004302,0.004348,0.009658,-0.040129,0.0102795,0.088027
0.291978,0.036139,0.085126,0.004026,0.00995,-0.054184,0.020538,0.1385966,,,0.306419,0.038193,0.021605,0.004004,0.009945,-0.049648,0.020246625,-0.084458,,,0.306114,0.036631,0.019595,0.004634,0.009526,-0.040374,0.0105941,0.096093
0.294172,0.03633,0.086314,0.004537,0.009755,-0.061743,0.021555,0.1253842,,,0.308266,0.038248,0.036943,0.004317,0.009759,-0.057525,0.020944125,-0.076241,,,0.307531,0.036664,0.027669,0.007329,0.009318,-0.049326,0.0135553,0.085295
0.2976,0.036634,0.093355,0.005089,0.009519,-0.071422,0.022654,0.1036684,,,0.310137,0.038334,0.056067,0.004382,0.009577,-0.061122,0.021088125,-0.076657,,,0.307177,0.036649,0.051761,0.006893,0.009051,-0.059757,0.0130724,0.070366
0.300118,0.036896,0.115235,0.004551,0.009352,-0.065286,0.021584,0.1378979,,,0.312208,0.038466,0.070912,0.004687,0.009389,-0.063739,0.0217755,-0.078919,,,0.309653,0.036801,0.069547,0.006848,0.008825,-0.063637,0.0130229,0.069346
0.301349,0.037049,0.13246,0.003171,0.009203,-0.061114,0.018829,0.1660652,,,0.314025,0.038607,0.084767,0.004957,0.009182,-0.068327,0.022383,-0.076827,,,0.312428,0.037019,0.088359,0.005749,0.008587,-0.069003,0.0118129,0.065081
0.303829,0.037402,0.148434,0.003153,0.009019,-0.067652,0.018793,0.156586,,,0.31589,0.03878,0.100568,0.004695,0.008961,-0.073206,0.0217935,-0.073837,,,0.315703,0.037336,0.105268,0.003586,0.008358,-0.074842,0.0094347,0.059997
0.305405,0.037645,0.155998,0.003746,0.0088,-0.077918,0.019977,0.1331362,,,0.31828,0.039042,0.116622,0.003817,0.008758,-0.074795,0.01982475,-0.077674,,,0.319325,0.037745,0.118258,0.004167,0.008189,-0.069961,0.0100782,0.077441
0.307902,0.038062,0.175844,0.00376,0.008589,-0.080277,0.020009,0.1366229,,,0.321244,0.03941,0.129338,0.003972,0.008546,-0.078879,0.02017575,-0.076278,,,0.320983,0.037949,0.125892,0.00522,0.008014,-0.067071,0.0112409,0.090708
0.309668,0.038394,0.194774,0.003845,0.008389,-0.079402,0.020187,0.1512922,,,0.3232,0.039678,0.144486,0.004023,0.008324,-0.083006,0.020295,-0.074465,,,0.321786,0.038053,0.132678,0.006244,0.007815,-0.067019,0.0123717,0.097729
0.310759,0.038617,0.207391,0.003823,0.008165,-0.084175,0.020149,0.1456941,,,0.325251,0.039991,0.159601,0.004217,0.008094,-0.086551,0.020739375,-0.0735,,,0.32344,0.038289,0.14919,0.004394,0.007525,-0.081977,0.0103356,0.072721
0.312587,0.039024,0.227741,0.004258,0.007909,-0.092707,0.021022,0.1259605,,,0.327148,0.040312,0.174049,0.004464,0.007852,-0.090666,0.021301875,-0.071004,,,0.326838,0.038836,0.169474,0.004309,0.007303,-0.083321,0.0102476,0.076187
0.315818,0.039769,0.227241,0.004818,0.007643,-0.098399,0.022147,0.1152318,,,0.32899,0.040649,0.188966,0.004641,0.00761,-0.092635,0.02171025,-0.072636,,,0.32933,0.039283,0.184214,0.005121,0.007088,-0.082941,0.0111474,0.083061
0.319611,0.040668,0.240664,0.005491,0.007341,-0.106345,0.023498,0.0952296,,,0.330878,0.041023,0.201627,0.004821,0.007358,-0.095449,0.022127625,-0.072156,,,0.330324,0.039472,0.194593,0.00588,0.006816,-0.089549,0.0119856,0.074589
0.320961,0.041006,0.248513,0.003786,0.00713,-0.097242,0.020109,0.1360789,,,0.332759,0.041421,0.215012,0.004753,0.007094,-0.09913,0.021983625,-0.069499,,,0.331563,0.039729,0.209112,0.005801,0.006552,-0.092639,0.0119042,0.073117
0.323189,0.041591,0.265531,0.002655,0.006903,-0.097639,0.017861,0.1436847,,,0.334883,0.041901,0.22913,0.004421,0.006832,-0.10174,0.021250125,-0.068801,,,0.334281,0.040333,0.228843,0.005101,0.006248,-0.102115,0.0111375,0.057768
0.324432,0.041938,0.27887,0.002663,0.006678,-0.098081,0.017891,0.1507907,,,0.337245,0.042468,0.242033,0.004763,0.00657,-0.103218,0.022035375,-0.070161,,,0.337332,0.04107,0.245517,0.00485,0.005987,-0.102926,0.0108691,0.060452
0.326108,0.042431,0.29395,0.00282,0.006437,-0.102068,0.018217,0.1448118,,,0.338938,0.042898,0.25365,0.004965,0.006291,-0.106811,0.022503375,-0.066643,,,0.338901,0.041472,0.255338,0.005891,0.005746,-0.099643,0.0120241,0.07155
0.327677,0.042924,0.313575,0.003294,0.006174,-0.10866,0.019176,0.1286703,,,0.340772,0.043388,0.267218,0.00444,0.005999,-0.11188,0.021333375,-0.059612,,,0.339929,0.041744,0.263597,0.00518,0.005428,-0.10887,0.0112453,0.055593
0.328711,0.043265,0.319016,0.003658,0.005897,-0.114121,0.019913,0.1154137,,,0.343305,0.044103,0.282089,0.003875,0.005718,-0.115044,0.020077875,-0.056367,,,0.342416,0.042436,0.27908,0.005037,0.00514,-0.11168,0.0110957,0.052906
0.33222,0.044423,0.322171,0.004507,0.005591,-0.121121,0.021621,0.0953656,,,0.345854,0.044857,0.294873,0.004252,0.005447,-0.114835,0.020946375,-0.059859,,,0.345183,0.043254,0.296589,0.004534,0.004854,-0.113755,0.0105512,0.051462
0.333658,0.04491,0.331833,0.005109,0.0053,-0.120532,0.022845,0.1014346,,,0.347474,0.045357,0.304091,0.004574,0.005153,-0.1186,0.0216855,-0.054551,,,0.347021,0.043822,0.303011,0.006022,0.004606,-0.108692,0.0122023,0.064968
0.335258,0.045472,0.345813,0.004006,0.00506,-0.1129,0.020666,0.1331039,,,0.349161,0.045898,0.317084,0.004734,0.004857,-0.120829,0.0220635,-0.05202,,,0.347793,0.044066,0.310412,0.005192,0.004275,-0.116968,0.0112937,0.049448
0.3368,0.046046,0.365394,0.004019,0.004783,-0.115522,0.020709,0.1276265,,,0.350986,0.046508,0.328334,0.004583,0.004565,-0.121815,0.021745125,-0.051767,,,0.350342,0.044905,0.324473,0.004738,0.003977,-0.119234,0.0108031,0.046476
0.340083,0.04731,0.367009,0.004424,0.004484,-0.120918,0.021531,0.1112504,,,0.353091,0.047236,0.338127,0.004358,0.004271,-0.123072,0.021258,-0.050656,,,0.353547,0.046012,0.339175,0.003925,0.003689,-0.120259,0.0099187,0.045941
0.342633,0.048295,0.370419,0.005166,0.004148,-0.129061,0.023024,0.0834911,,,0.35526,0.048009,0.347967,0.004685,0.00398,-0.123469,0.022017375,-0.051024,,,0.355455,0.046691,0.345154,0.005422,0.003428,-0.115913,0.0115786,0.056615
0.345058,0.049252,0.382499,0.00487,0.003858,-0.125279,0.022458,0.0981655,,,0.356899,0.048612,0.35672,0.004874,0.003666,-0.127239,0.022458375,-0.043754,,,0.356216,0.046968,0.351073,0.005332,0.003112,-0.121083,0.0114873,0.046415
0.346863,0.049989,0.391673,0.002754,0.003593,-0.121167,0.018252,0.1144005,,,0.358674,0.049284,0.368611,0.004018,0.003357,-0.129315,0.0205515,-0.039712,,,0.358018,0.047641,0.362454,0.005282,0.002804,-0.123512,0.0114422,0.041674
0.347796,0.05038,0.402338,0.00261,0.003316,-0.123094,0.017982,0.1087004,,,0.361407,0.050357,0.378567,0.004245,0.003055,-0.129997,0.021085875,-0.038352,,,0.360661,0.048666,0.376521,0.004179,0.002478,-0.129799,0.0102355,0.028315
0.349352,0.051054,0.411012,0.002924,0.003032,-0.125566,0.018626,0.1003007,,,0.363121,0.051048,0.386884,0.0045,0.002749,-0.131047,0.02167875,-0.035853,,,0.362964,0.049588,0.386686,0.005731,0.002205,-0.124478,0.0119581,0.039579
0.351439,0.051969,0.416007,0.003447,0.002729,-0.130938,0.019686,0.0805807,,,0.364806,0.051742,0.395318,0.004603,0.002439,-0.13234,0.021933,-0.032456,,,0.363526,0.049818,0.390741,0.005742,0.001854,-0.131883,0.0119757,0.022765
0.353564,0.052921,0.424671,0.003834,0.00242,-0.132744,0.020476,0.0725941,,,0.366625,0.05251,0.40374,0.004704,0.002134,-0.131902,0.022181625,-0.032459,,,0.365346,0.050582,0.403283,0.006046,0.001519,-0.134749,0.0123189,0.015297
0.3549,0.053529,0.42948,0.003631,0.002129,-0.131132,0.020093,0.0766979,,,0.368438,0.053292,0.41017,0.004074,0.001827,-0.132743,0.0207855,-0.029466,,,0.367899,0.051693,0.412346,0.001777,0.001275,-0.124031,0.0076417,0.037458
0.356417,0.054229,0.435069,0.003994,0.001824,-0.13277,0.020835,0.0684189,,,0.370917,0.054381,0.417617,0.003898,0.001532,-0.131702,0.020413125,-0.030329,,,0.372776,0.053807,0.408905,0.002888,0.001018,-0.119306,0.0088781,0.04677
0.358366,0.05514,0.440276,0.003999,0.001527,-0.132201,0.020866,0.0677015,,,0.372974,0.055299,0.422914,0.004182,0.001231,-0.132216,0.021072375,-0.027564,,,0.373844,0.054271,0.410865,0.004308,0.000764,-0.115772,0.0104522,0.05343
0.360558,0.056188,0.448808,0.004412,0.001228,-0.131995,0.02171,0.0651362,,,0.374611,0.056042,0.429495,0.004214,0.000928,-0.132811,0.021164625,-0.024306,,,0.3744,0.054515,0.41375,0.005935,0.000501,-0.114448,0.0122529,0.055045
0.361879,0.056828,0.452696,0.004345,0.00093,-0.131685,0.021595,0.0625522,,,0.376472,0.056901,0.435885,0.004449,0.000628,-0.132327,0.02171475,-0.023084,,,0.374863,0.05472,0.420786,0.006149,0.000172,-0.12228,0.0124938,0.035927
0.364266,0.057998,0.457472,0.004738,0.000615,-0.13418,0.022394,0.048942,,,0.378144,0.057687,0.440918,0.004737,0.000321,-0.133276,0.022381875,-0.018471,,,0.377074,0.055727,0.433624,0.004386,-0.000164,-0.130009,0.0105578,0.016585
0.365604,0.05866,0.462046,0.004623,0.000313,-0.133908,0.022183,0.0451476,,,0.379767,0.058459,0.447106,0.004217,2.30E-05,-0.13255,0.021231,-0.017258,,,0.379869,0.057041,0.443839,0.003738,-0.000453,-0.129512,0.0098549,0.015069
0.367484,0.059598,0.46398,0.004561,1.10E-05,-0.133468,0.022076,0.0415249,,,0.382115,0.059591,0.451337,0.003826,-0.000266,-0.130823,0.0203715,-0.018084,,,0.382518,0.058308,0.449073,0.005372,-0.00073,-0.1265,0.0116633,0.018841
0.370286,0.061012,0.468404,0.004653,-0.000294,-0.134195,0.022274,0.0332221,,,0.384346,0.060677,0.454286,0.003993,-0.000559,-0.131136,0.02076525,-0.014307,,,0.382745,0.058418,0.449962,0.006854,-0.001031,-0.127468,0.0133012,0.013534
0.371798,0.06178,0.470318,0.004647,-0.000583,-0.132025,0.022279,0.0353896,,,0.386073,0.061524,0.458988,0.004113,-0.000845,-0.129916,0.02105325,-0.013655,,,0.383609,0.05884,0.459601,0.004995,-0.001348,-0.128816,0.011264,0.006818
0.374008,0.062906,0.473075,0.004617,-0.000881,-0.13209,0.022232,0.0288378,,,0.387842,0.062401,0.461871,0.004414,-0.001123,-0.127414,0.021749625,-0.015633,,,0.386826,0.060444,0.46077,0.003254,-0.001594,-0.121341,0.0093621,0.019925
0.375855,0.063852,0.473831,0.004007,-0.00117,-0.131024,0.021028,0.0262776,,,0.389449,0.063203,0.463184,0.00459,-0.001403,-0.126238,0.0221625,-0.014562,,,0.390958,0.06248,0.456702,0.003486,-0.001845,-0.117449,0.0096272,0.025191
0.377003,0.064443,0.475362,0.004008,-0.001454,-0.129843,0.021043,0.0239503,,,0.391169,0.064066,0.465532,0.004439,-0.001679,-0.125187,0.0218385,-0.013096,,,0.392003,0.062993,0.45674,0.005289,-0.002094,-0.114982,0.0116182,0.027281
0.379208,0.065579,0.476777,0.004316,-0.001732,-0.127964,0.021673,0.0239537,,,0.393181,0.065079,0.467716,0.003733,-0.001955,-0.125029,0.02026125,-0.009511,,,0.392276,0.063127,0.457637,0.00658,-0.002364,-0.116131,0.0130438,0.021103
0.380445,0.066218,0.476991,0.004473,-0.002011,-0.127239,0.021997,0.0194198,,,0.395687,0.066349,0.470502,0.003763,-0.002227,-0.124256,0.020343375,-0.007108,,,0.3935,0.063735,0.463882,0.004825,-0.002662,-0.121288,0.0111155,0.005613
0.383389,0.067742,0.477955,0.00466,-0.00228,-0.125205,0.022384,0.0195898,,,0.397536,0.067292,0.47238,0.003975,-0.002492,-0.122821,0.020831625,-0.006018,,,0.396393,0.065193,0.469411,0.003947,-0.002925,-0.120308,0.0101552,0.00361
0.38503,0.068592,0.478136,0.004822,-0.002553,-0.124446,0.022716,0.0147295,,,0.399226,0.068156,0.473302,0.004193,-0.002747,-0.120095,0.021335625,-0.007688,,,0.399732,0.066891,0.470917,0.00439,-0.003181,-0.118672,0.0106491,0.002961
0.38685,0.069535,0.477882,0.004251,-0.002821,-0.123732,0.021583,0.0094867,,,0.400916,0.069021,0.47264,0.00446,-0.003004,-0.11895,0.021945375,-0.005769,,,0.400544,0.067305,0.471217,0.006457,-0.003431,-0.116907,0.0129272,0.002493
0.388918,0.070605,0.476931,0.003887,-0.003084,-0.122346,0.020863,0.006561,,,0.402561,0.069863,0.473265,0.004708,-0.003251,-0.11662,0.0225135,-0.006385,,,0.40077,0.06742,0.471332,0.006037,-0.003694,-0.117439,0.0124674,-0.003296
0.390604,0.071479,0.478245,0.003956,-0.003342,-0.120912,0.021008,0.0036455,,,0.404228,0.070716,0.47241,0.004297,-0.003498,-0.115415,0.0215955,-0.004428,,,0.403609,0.068872,0.472866,0.0034,-0.00394,-0.115907,0.00957,-0.004558
0.391929,0.072166,0.478811,0.00413,-0.003594,-0.119069,0.021362,0.00209,,,0.406482,0.071867,0.472385,0.00346,-0.003739,-0.11355,0.019719,-0.003806,,,0.407079,0.070647,0.472877,0.003952,-0.004186,-0.114878,0.0101805,-0.007063
0.394041,0.073262,0.478215,0.004474,-0.003854,-0.119799,0.02205,-0.0093612,,,0.409119,0.073214,0.471404,0.003303,-0.003981,-0.113226,0.019368,0.000314,,,0.408656,0.071454,0.472507,0.005618,-0.004429,-0.114104,0.0120153,-0.010242
