no attack,,,,,,,,,,reflection,,,,,,,,,,scale,,,,,,,
observable,,,error,,,input,,,,observable,,,error,,,input,,,,observable,,,error,,,input,
x,y,theta,e_x,e_y,e_theta,v,w,,,x,y,theta,e_x,e_y,e_theta,v,w,,,x,y,theta,e_x,e_y,e_theta,v,w
0.044115,0.07173,0.641506,0.001044,0.022356,-0.413647,0.014103,-0.1797556,,,0.058718,0.072734,0.666524,0.000364,0.020103,-0.375064,0.011696625,0.084566,,,0.048584,0.075747,0.556107,0.004908,0.010581,-0.277111,0.0108955,-0.088196
0.045217,0.072539,0.626557,0.001131,0.021559,-0.398816,0.014319,-0.1687515,,,0.059779,0.073555,0.650203,0.000409,0.01936,-0.36443,0.011820375,0.084732,,,0.049359,0.076227,0.550266,0.007097,0.01008,-0.273201,0.013299,-0.09608
0.046496,0.073448,0.608126,0.00076,0.020787,-0.385385,0.013612,-0.1616897,,,0.061016,0.074478,0.632579,0.00015,0.018635,-0.354583,0.011257875,0.086249,,,0.049186,0.076121,0.534195,0.006332,0.0097,-0.256758,0.0124707,-0.076655
0.048045,0.074501,0.584411,0.000532,0.020036,-0.373155,0.013184,-0.158101,,,0.062536,0.075573,0.615486,6.30E-05,0.017927,-0.346568,0.011071125,0.091197,,,0.052123,0.077817,0.513129,0.004823,0.009285,-0.246281,0.0108152,-0.070163
0.049105,0.075193,0.569769,0.000527,0.019303,-0.362472,0.013193,-0.1592706,,,0.06397,0.07657,0.59997,0.000389,0.017239,-0.337158,0.0118215,0.093249,,,0.054783,0.079283,0.494476,0.004334,0.008844,-0.241615,0.0102729,-0.076108
0.051185,0.076497,0.549774,0.000589,0.018591,-0.353402,0.013331,-0.1653753,,,0.065063,0.077304,0.582811,0.000668,0.016574,-0.328846,0.012459375,0.097196,,,0.056346,0.080118,0.48663,0.006162,0.008357,-0.247456,0.012265,-0.104266
0.052073,0.077034,0.536948,0.000539,0.017905,-0.340338,0.013258,-0.1578324,,,0.066231,0.07806,0.566508,0.000782,0.015937,-0.316009,0.01274175,0.091986,,,0.056211,0.080048,0.482469,0.005921,0.007994,-0.235874,0.0120043,-0.095325
0.053033,0.077598,0.524051,0.000163,0.017233,-0.332408,0.012514,-0.1670787,,,0.067499,0.078849,0.545441,0.00049,0.015324,-0.305442,0.01209825,0.090963,,,0.058829,0.081376,0.460344,0.004363,0.007637,-0.223375,0.0102971,-0.084692
0.054622,0.078491,0.49907,0.000356,0.016575,-0.324665,0.012906,-0.1768401,,,0.069176,0.079843,0.526412,-2.40E-05,0.014713,-0.303162,0.01092825,0.106309,,,0.06193,0.082871,0.437985,0.003824,0.007249,-0.21759,0.0096998,-0.088394
0.056476,0.079479,0.479714,0.000971,0.015935,-0.320673,0.014132,-0.1987803,,,0.071174,0.080989,0.515445,0.000167,0.014111,-0.295177,0.01136475,0.110592,,,0.063767,0.083722,0.428055,0.00513,0.006862,-0.214673,0.0111298,-0.098072
0.058011,0.080256,0.45943,0.000699,0.015327,-0.30481,0.01362,-0.1808334,,,0.072501,0.081727,0.498554,0.000503,0.013529,-0.287976,0.012126375,0.116233,,,0.064091,0.083867,0.413227,0.006171,0.006565,-0.202137,0.0122793,-0.086996
0.059311,0.080882,0.438611,0.000253,0.014734,-0.294774,0.012741,-0.1819826,,,0.073728,0.082383,0.482236,0.000364,0.012972,-0.276737,0.011829375,0.11373,,,0.064743,0.084145,0.396397,0.005945,0.006254,-0.196594,0.0120274,-0.090435
0.06037,0.081365,0.420545,0.000187,0.014161,-0.284007,0.012624,-0.1804356,,,0.075352,0.083211,0.461676,0.000274,0.012439,-0.262332,0.011649375,0.104757,,,0.067322,0.085192,0.375949,0.004943,0.005967,-0.187676,0.0109252,-0.086924
0.06244,0.082254,0.39237,0.000846,0.013607,-0.277223,0.013943,-0.191812,,,0.076925,0.08397,0.437754,0.000118,0.011928,-0.25189,0.011311875,0.103324,,,0.070156,0.086284,0.359699,0.004427,0.005657,-0.183551,0.0103521,-0.093709
0.063707,0.082767,0.378072,0.000955,0.013085,-0.26471,0.01418,-0.1834446,,,0.07863,0.084745,0.417608,0.000176,0.011439,-0.241522,0.0114525,0.101828,,,0.071866,0.086915,0.346871,0.006675,0.005332,-0.184718,0.012815,-0.111579
0.065811,0.083571,0.352964,0.000712,0.012591,-0.251362,0.013714,-0.1717129,,,0.080165,0.085405,0.397357,0.000242,0.010969,-0.231047,0.01161225,0.099954,,,0.071389,0.086745,0.340553,0.006436,0.005108,-0.174935,0.0125532,-0.105829
0.067481,0.084164,0.331875,0.000714,0.012112,-0.242501,0.013726,-0.1747151,,,0.081711,0.086036,0.37683,0.000508,0.01052,-0.221838,0.01221975,0.10035,,,0.074269,0.087711,0.312881,0.004361,0.004902,-0.161606,0.0102751,-0.092918
0.068849,0.084623,0.314947,0.000759,0.011652,-0.232246,0.013827,-0.172806,,,0.083104,0.086574,0.357409,0.000363,0.010092,-0.213628,0.011898,0.102516,,,0.077747,0.0888,0.293304,0.004362,0.004641,-0.158008,0.0102729,-0.100737
0.070877,0.085259,0.291836,0.000507,0.011212,-0.221642,0.013334,-0.1693465,,,0.084912,0.087231,0.338839,0.000511,0.009687,-0.200994,0.012245625,0.09569,,,0.079106,0.089203,0.279969,0.006017,0.004425,-0.150228,0.0120923,-0.099506
0.072579,0.085752,0.272434,0.000414,0.01079,-0.210864,0.01316,-0.1649741,,,0.086422,0.087743,0.315705,0.000537,0.009306,-0.190424,0.01231425,0.092639,,,0.079301,0.089257,0.260306,0.00537,0.004291,-0.136206,0.011385,-0.08443
0.073923,0.086114,0.256011,0.000465,0.010384,-0.203228,0.013268,-0.1708799,,,0.088088,0.088269,0.294507,0.000393,0.008945,-0.182496,0.01199475,0.094583,,,0.081706,0.089865,0.240289,0.004818,0.004101,-0.131926,0.0107756,-0.090067
0.076181,0.086683,0.236049,0.000485,0.009998,-0.194272,0.013316,-0.1719373,,,0.089958,0.088815,0.275835,-0.000317,0.00858,-0.181701,0.0103905,0.110835,,,0.084762,0.09058,0.219417,0.003549,0.003921,-0.124979,0.0093797,-0.090359
0.077192,0.086918,0.221316,0.000429,0.00963,-0.184466,0.013215,-0.169746,,,0.092446,0.089505,0.264189,7.50E-05,0.008217,-0.179051,0.011266875,0.123537,,,0.087235,0.091117,0.207467,0.005055,0.003699,-0.12852,0.0110286,-0.112527
0.079446,0.087392,0.194846,0.000193,0.009273,-0.178843,0.012745,-0.1814471,,,0.093865,0.08988,0.250597,0.000818,0.007876,-0.17248,0.01294425,0.128206,,,0.087632,0.0912,0.195898,0.00677,0.003569,-0.119921,0.0129173,-0.108831
0.080764,0.08764,0.178485,0.000685,0.008931,-0.17189,0.013735,-0.1883542,,,0.094922,0.09014,0.233,0.000785,0.007572,-0.156137,0.012893625,0.11292,,,0.088478,0.091354,0.175859,0.005905,0.003468,-0.110878,0.011968,-0.103784
0.083187,0.088038,0.15165,0.000799,0.008614,-0.161357,0.013975,-0.1825538,,,0.096677,0.090529,0.205563,0.000708,0.007286,-0.14594,0.0127305,0.109482,,,0.091325,0.091826,0.153143,0.004528,0.003376,-0.099416,0.0104577,-0.093837
0.084439,0.088221,0.139874,0.000622,0.008317,-0.151404,0.013634,-0.1781168,,,0.098539,0.090896,0.184215,0.000572,0.007023,-0.133622,0.012441375,0.101469,,,0.094982,0.092355,0.134769,0.004403,0.00323,-0.098268,0.010318,-0.105601
0.086321,0.088468,0.119886,0.000615,0.008042,-0.139459,0.013634,-0.1662746,,,0.100459,0.091231,0.160703,0.000686,0.00678,-0.123285,0.01271025,0.097,,,0.096187,0.092511,0.122145,0.005676,0.003134,-0.09047,0.0117216,-0.103166
0.088334,0.088691,0.101215,0.000551,0.007776,-0.135263,0.01351,-0.1802809,,,0.102161,0.091488,0.13914,0.000688,0.006558,-0.11414,0.012726,0.094515,,,0.096589,0.092559,0.106325,0.006659,0.003058,-0.086326,0.012804,-0.107676
0.090754,0.088905,0.076516,0.000482,0.007525,-0.126525,0.013385,-0.1784891,,,0.103993,0.091725,0.118751,0.000545,0.006352,-0.10491,0.012414375,0.091544,,,0.098202,0.092707,0.086623,0.004777,0.003049,-0.071703,0.0107404,-0.089941
0.092067,0.088995,0.060231,0.000304,0.007287,-0.119096,0.013039,-0.1806379,,,0.105981,0.091942,0.098272,0.000794,0.006163,-0.096841,0.012985875,0.090504,,,0.101332,0.092943,0.065064,0.004047,0.002972,-0.068907,0.0099396,-0.09716
0.093432,0.089065,0.044058,0.000345,0.007064,-0.109431,0.013134,-0.1746318,,,0.107595,0.092085,0.078961,0.000831,0.00599,-0.090496,0.01307925,0.092561,,,0.104516,0.093122,0.048246,0.00433,0.002896,-0.06586,0.0102542,-0.103829
0.095886,0.089139,0.017696,0.000604,0.006856,-0.104739,0.013662,-0.1848641,,,0.109438,0.092215,0.061395,0.000707,0.005826,-0.085981,0.01280925,0.098028,,,0.10573,0.093174,0.032163,0.006385,0.002849,-0.061767,0.0125169,-0.107776
0.097253,0.089152,0.00328,0.000763,0.006671,-0.095489,0.013993,-0.1787628,,,0.11146,0.092323,0.045692,0.000987,0.005681,-0.07608,0.013453875,0.092273,,,0.10573,0.093173,0.016822,0.00573,0.002901,-0.047753,0.0118041,-0.089846
0.098822,0.089141,-0.017264,0.000737,0.006508,-0.084196,0.013959,-0.1647922,,,0.113053,0.092379,0.024649,0.001359,0.005558,-0.068048,0.014304375,0.089723,,,0.108159,0.093184,-0.003677,0.00531,0.002889,-0.04442,0.0113465,-0.094432
0.101175,0.089075,-0.03778,0.000668,0.006359,-0.076804,0.013834,-0.1633353,,,0.114572,0.092403,0.005535,0.001478,0.005459,-0.05913,0.01458675,0.0848,,,0.111247,0.093141,-0.025343,0.003506,0.002909,-0.034225,0.0093676,-0.084553
0.102717,0.089007,-0.049977,0.000971,0.006231,-0.067187,0.014455,-0.1533512,,,0.116343,0.092396,-0.014394,0.001829,0.005383,-0.04997,0.015391125,0.078769,,,0.114283,0.093044,-0.039299,0.004677,0.002871,-0.03671,0.0106601,-0.101083
0.104511,0.088902,-0.067663,0.000921,0.00612,-0.061075,0.014369,-0.1544647,,,0.117887,0.092358,-0.034481,0.001291,0.005276,-0.058558,0.01418625,0.108795,,,0.115193,0.093005,-0.052206,0.006013,0.002929,-0.025784,0.0121374,-0.088656
0.106934,0.088714,-0.087495,0.000883,0.006017,-0.056031,0.014307,-0.1586008,,,0.120416,0.09227,-0.036725,0.001042,0.005179,-0.054038,0.013640625,0.112192,,,0.115698,0.09297,-0.069499,0.006009,0.002961,-0.023248,0.0121396,-0.093417
0.108294,0.088585,-0.100873,0.00099,0.005928,-0.04895,0.014537,-0.1550376,,,0.122591,0.092175,-0.05197,0.00128,0.005103,-0.044893,0.014194125,0.105667,,,0.118322,0.092762,-0.088562,0.005231,0.003028,-0.014863,0.0112915,-0.085514
0.110683,0.088314,-0.12258,0.000933,0.00585,-0.043182,0.014439,-0.155194,,,0.124258,0.09207,-0.07172,0.001564,0.005056,-0.033883,0.014853375,0.094591,,,0.121446,0.092458,-0.105802,0.004059,0.003077,-0.009481,0.0100089,-0.083801
0.112516,0.088076,-0.13542,0.001028,0.005786,-0.036551,0.014645,-0.1515271,,,0.125872,0.091936,-0.093206,0.001492,0.005012,-0.031523,0.01470825,0.100647,,,0.12391,0.092176,-0.120536,0.004476,0.0031,-0.009745,0.0104764,-0.093777
0.113919,0.087876,-0.146649,0.001145,0.00574,-0.028412,0.014896,-0.1416331,,,0.127887,0.091732,-0.105901,0.001693,0.004975,-0.027322,0.0151785,0.102609,,,0.125116,0.092026,-0.130401,0.006489,0.00319,-0.001463,0.0126984,-0.084926
0.116218,0.087509,-0.168051,0.001042,0.005701,-0.025252,0.014707,-0.1482172,,,0.129622,0.091535,-0.120285,0.001955,0.004962,-0.019155,0.01578825,0.095833,,,0.125015,0.09204,-0.146144,0.00629,0.003284,0.00261,0.0124883,-0.084251
0.117639,0.087259,-0.180066,0.001165,0.005671,-0.020832,0.01497,-0.1497098,,,0.131279,0.091319,-0.138474,0.001891,0.004966,-0.010715,0.0156645,0.087871,,,0.127766,0.091607,-0.166142,0.004548,0.003423,0.014688,0.0105809,-0.066138
0.119975,0.086809,-0.197743,0.001347,0.005659,-0.012642,0.015353,-0.1371009,,,0.133256,0.091025,-0.156766,0.002392,0.00499,-0.002931,0.016810875,0.080545,,,0.130807,0.091072,-0.182168,0.004164,0.003499,0.01513,0.0101673,-0.072632
0.121364,0.086524,-0.206345,0.001268,0.005659,-0.006567,0.015212,-0.1308738,,,0.134679,0.090788,-0.174221,0.002947,0.005038,0.004867,0.01807875,0.072388,,,0.133393,0.090579,-0.195065,0.004585,0.003585,0.017613,0.0106403,-0.074508
0.123836,0.08598,-0.225809,0.001394,0.005674,-0.00018,0.015483,-0.1225557,,,0.136048,0.090534,-0.191501,0.00266,0.005074,0.004588,0.0174555,0.080626,,,0.134683,0.090318,-0.204247,0.006247,0.00365,0.01426,0.0124784,-0.088453
0.125141,0.085671,-0.236419,0.0014,0.005689,0.001347,0.015514,-0.1305644,,,0.138282,0.090089,-0.200507,0.002717,0.005118,0.007384,0.017604,0.082173,,,0.135128,0.090225,-0.213799,0.005989,0.003807,0.024161,0.0122034,-0.073189
0.127009,0.08521,-0.248336,0.001452,0.005722,0.008972,0.015638,-0.1162725,,,0.140165,0.089695,-0.212382,0.002943,0.005179,0.01263,0.01813275,0.078056,,,0.138188,0.089527,-0.232609,0.004426,0.003951,0.031734,0.010494,-0.062609
0.129361,0.084599,-0.26089,0.001449,0.005765,0.013907,0.015649,-0.110467,,,0.141869,0.089314,-0.226495,0.00348,0.005271,0.021892,0.01936125,0.064778,,,0.141236,0.088775,-0.249943,0.003893,0.004071,0.035336,0.0099176,-0.060311
0.130631,0.084254,-0.269833,0.001508,0.005815,0.017403,0.015788,-0.1089081,,,0.143248,0.088985,-0.244404,0.003894,0.005388,0.031084,0.020313,0.050755,,,0.143098,0.088293,-0.257849,0.005574,0.004157,0.030716,0.0117788,-0.0753
0.133235,0.083511,-0.285032,0.001508,0.005866,0.019041,0.015806,-0.113272,,,0.144743,0.0886,-0.262016,0.004049,0.005474,0.028062,0.02068425,0.062169,,,0.143538,0.088175,-0.261908,0.005539,0.004319,0.038041,0.0117502,-0.063914
0.134521,0.083128,-0.293814,0.001753,0.005928,0.022765,0.016316,-0.1094504,,,0.14655,0.088106,-0.267181,0.003397,0.005544,0.025243,0.019242,0.073218,,,0.145391,0.087658,-0.277161,0.004748,0.004484,0.044969,0.01089,-0.052924
0.136817,0.082416,-0.305645,0.001741,0.006002,0.027864,0.016311,-0.0998505,,,0.149137,0.087394,-0.272311,0.003456,0.005634,0.027688,0.019396125,0.07273,,,0.148692,0.086683,-0.295488,0.003664,0.004638,0.050042,0.0097075,-0.045648
0.138192,0.081978,-0.311826,0.001691,0.006081,0.031586,0.01623,-0.0943765,,,0.151011,0.08686,-0.28246,0.003618,0.005749,0.034903,0.019780875,0.061563,,,0.151012,0.085963,-0.304815,0.005203,0.00476,0.047254,0.0114114,-0.054989
0.140667,0.081161,-0.325177,0.001954,0.006168,0.034497,0.016776,-0.0909663,,,0.152758,0.086341,-0.29713,0.003965,0.005899,0.045543,0.020579625,0.04221,,,0.151495,0.08581,-0.309481,0.005342,0.004927,0.051936,0.0115742,-0.047636
0.141913,0.080735,-0.33272,0.00188,0.006255,0.035455,0.016648,-0.0939447,,,0.154303,0.085853,-0.314971,0.004523,0.006055,0.050863,0.0218565,0.033434,,,0.153275,0.085227,-0.321364,0.005244,0.005088,0.054246,0.0114763,-0.04503
0.144205,0.079929,-0.343669,0.00199,0.006354,0.04002,0.016886,-0.0832381,,,0.15567,0.085394,-0.327233,0.003824,0.006145,0.043205,0.0203085,0.052708,,,0.155863,0.084347,-0.333933,0.003264,0.005256,0.058782,0.0093082,-0.037333
0.145491,0.079465,-0.34787,0.001986,0.006459,0.043257,0.016897,-0.0765146,,,0.158308,0.084504,-0.326255,0.003793,0.006257,0.042877,0.020262375,0.056042,,,0.159063,0.083222,-0.341831,0.004525,0.005382,0.054502,0.0107074,-0.048566
0.1477,0.078653,-0.3569,0.002218,0.00657,0.046004,0.017379,-0.0708026,,,0.160273,0.083834,-0.33234,0.003989,0.006412,0.051633,0.020718,0.039229,,,0.159921,0.082916,-0.344611,0.005408,0.005532,0.055382,0.0116886,-0.048302
0.149074,0.078136,-0.362189,0.002268,0.006681,0.046393,0.017496,-0.0730092,,,0.161968,0.083237,-0.34724,0.004629,0.006604,0.062208,0.02217375,0.017513,,,0.16092,0.082553,-0.350988,0.005781,0.005696,0.057631,0.0121088,-0.044591
0.151365,0.077254,-0.371919,0.002514,0.006798,0.048209,0.018008,-0.0694749,,,0.163224,0.082768,-0.363686,0.003485,0.006704,0.052416,0.01962675,0.040035,,,0.16296,0.081793,-0.362708,0.004571,0.005881,0.062855,0.0107866,-0.033938
0.152684,0.076736,-0.376347,0.00254,0.006918,0.049799,0.018075,-0.0661548,,,0.166279,0.081615,-0.359489,0.002944,0.006825,0.05162,0.018430875,0.043064,,,0.166409,0.080466,-0.371404,0.004101,0.006038,0.063305,0.0102795,-0.033593
0.154424,0.076042,-0.381906,0.002557,0.007048,0.053173,0.018125,-0.0556624,,,0.168718,0.080695,-0.36401,0.00316,0.006953,0.052082,0.018934875,0.043068,,,0.168199,0.079763,-0.375889,0.005742,0.006169,0.05884,0.0120945,-0.043861
0.156653,0.075139,-0.387462,0.002772,0.007176,0.054166,0.018571,-0.0532926,,,0.170443,0.080031,-0.369508,0.003035,0.007087,0.054727,0.0186705,0.03809,,,0.168293,0.079725,-0.376478,0.006694,0.006332,0.059995,0.0131516,-0.04141
0.158268,0.074474,-0.393841,0.002966,0.007308,0.055256,0.018974,-0.0500388,,,0.17247,0.079239,-0.376908,0.003289,0.007232,0.057946,0.019258875,0.031389,,,0.169844,0.079104,-0.385848,0.005345,0.006529,0.065379,0.0116743,-0.029079
0.159669,0.073889,-0.397347,0.003274,0.007438,0.055086,0.019606,-0.0509568,,,0.174137,0.078568,-0.384597,0.003397,0.00738,0.061053,0.019515375,0.024634,,,0.173074,0.077775,-0.393302,0.003718,0.006699,0.067261,0.0098923,-0.024436
0.161441,0.073139,-0.403193,0.003292,0.007576,0.057137,0.019655,-0.0431759,,,0.175942,0.077833,-0.391886,0.003975,0.007549,0.065955,0.02082825,0.013372,,,0.176529,0.076328,-0.398147,0.00434,0.006851,0.06646,0.0105853,-0.025578
0.163721,0.072163,-0.406479,0.003518,0.007719,0.059011,0.020119,-0.0354834,,,0.177296,0.077264,-0.400684,0.003781,0.007669,0.059682,0.020412,0.026536,,,0.177368,0.075973,-0.401969,0.005877,0.007007,0.06587,0.0122826,-0.02599
0.164674,0.071753,-0.405668,0.003666,0.007868,0.061541,0.020426,-0.0248074,,,0.179442,0.076361,-0.398018,0.003859,0.007801,0.058375,0.020601,0.028738,,,0.177881,0.075754,-0.406712,0.005928,0.007186,0.0683,0.0123442,-0.019271
0.166905,0.07079,-0.410058,0.003946,0.008005,0.060835,0.020996,-0.0258121,,,0.181308,0.075575,-0.400027,0.00392,0.007944,0.059701,0.020750625,0.024931,,,0.180156,0.074767,-0.41036,0.004381,0.007346,0.068263,0.0106491,-0.017982
0.168389,0.070141,-0.412555,0.004371,0.008133,0.058258,0.021859,-0.0335607,,,0.183171,0.074782,-0.404378,0.004091,0.008084,0.060367,0.02114775,0.022337,,,0.184053,0.073065,-0.413253,0.004263,0.007495,0.067097,0.0105248,-0.019083
0.171124,0.06894,-0.415712,0.004516,0.008274,0.05946,0.022159,-0.0268474,,,0.184938,0.074023,-0.407778,0.004287,0.00823,0.061554,0.021598875,0.01831,,,0.185119,0.072597,-0.415397,0.005967,0.007646,0.066454,0.0124058,-0.018835
0.172813,0.068191,-0.419407,0.004514,0.008417,0.060559,0.022163,-0.020078,,,0.186679,0.073266,-0.411404,0.004422,0.00837,0.061448,0.021911625,0.01696,,,0.185582,0.072392,-0.417538,0.005746,0.007804,0.066651,0.0121671,-0.016466
0.174084,0.067623,-0.420089,0.00429,0.008559,0.06147,0.02172,-0.0136894,,,0.188488,0.072474,-0.413444,0.004533,0.00851,0.06158,0.02216925,0.014891,,,0.188079,0.071281,-0.417945,0.004632,0.007942,0.06492,0.0109461,-0.018389
0.176348,0.06661,-0.420363,0.004267,0.008703,0.062897,0.021679,-0.0049922,,,0.190318,0.071669,-0.415429,0.003726,0.008655,0.062919,0.020359125,0.009941,,,0.191317,0.069842,-0.419216,0.004021,0.008083,0.06408,0.0102773,-0.01818
0.178289,0.065743,-0.420482,0.004609,0.008847,0.06342,0.022368,0.0007436,,,0.192979,0.07049,-0.418326,0.003722,0.008791,0.062456,0.020358,0.008831,,,0.193121,0.069038,-0.419752,0.005743,0.00822,0.063066,0.0121759,-0.018232
0.181546,0.064284,-0.422187,0.004987,0.008985,0.063149,0.023127,0.0037475,,,0.194922,0.069626,-0.419125,0.003841,0.008917,0.060089,0.02063025,0.011814,,,0.193305,0.068956,-0.419734,0.007234,0.008336,0.059895,0.0138182,-0.023127
0.182701,0.063766,-0.421838,0.00426,0.009117,0.062174,0.021678,0.0042592,,,0.196772,0.068803,-0.417725,0.004113,0.009052,0.060649,0.021245625,0.008164,,,0.194647,0.068359,-0.420657,0.003577,0.008526,0.067342,0.0097944,-0.003633
